Album,Artist,Genre,Favorite Songs,Rating
Phantom Island,King Gizzard & The Lizard Wizard,Symphonic Rock,"Deadstick, Phantom Island, Grow Wings and Fly",7
La Vida Era Más Corta,Milo j,Art Pop / Latin Folk,"Niño, Ama De Mi Sol, Recordé",7.5
"Lust for Life, Or: 'How To Thread The Needle And Come Out The Other Side To Tell The Story'",Courting,Indie Rock / Dance-Punk,"Lust for Life, After You, Eleven Sent (This Time)",7.5
Sky Record,Dan English,Neo-Psychedelia / Chamber Folk,"Need, Across My Jaw, Sky Record Song",7.5
Pretty People Blot Out The Sun,Watson Moon,Indie Folk / Singer-Songwriter,"Turn Away, Autobahn (Unmarked Van), Jacob In The Chamber",7
Y’all,glaive,Digicore / Pop Rap,"Asheville, Fuck, We Don't Leave the House",7
For Melancholy Brunettes (& sad women),Japanese Breakfast,Indie Folk / Singer-Songwriter,"Here is Someone, Orlando in Love, Winter in LA",7.5
Baby,Dijon,Alternative R&B / Neo-Psychedelia,"Automatic, Yamaha, Kindalove",7.5
Cancionera,Natalia Lafourcade,Singer-Songwriter / Latin Jazz,"El Palomo y La Negra, El Coconito, Apertura Cancionera",7
Lonely People With Power,Deafheaven,Blackgaze / Post-Metal,"Amethyst, Doberman, The Garden Route",7.5
Burnover,Greg Freeman,Indie Rock / Alt-Country,"Gallic Shrug, Point and Shoot, Rome, New York",7
"Um Mar Pra Cada Um,",Luedji Luna,Progressive Soul / Jazz Fusion,"Dentro Ali, Karma, Salty",7
Black Hole Superette,Aesop Rock,Abstract Hip Hop,"Unbelievable Shenanigans, So Be It, Himalayan Yak Chew",7
Holo Boy,This Is Lorelei,Indie Pop,"Dreams Away, I Can't Fall, SF & GG",7
A Matter of Time,Laufey,Jazz Pop,"Lover Girl, Tough Luck, Clockwork",7.5
Twilight Override,Jeff Tweedy,Singer-Songwriter / Contemporary Folk,"Enough, One Tiny Flower, KC Rain (No Wonder)",7.5
Equus Caballus,Men I Trust,Bedroom Pop,"Ring Of Past (2025), Come Back Down, To Ease You",7.5
TIDE/TIED,Thanya Iyer,Art Pop,"Wash it all away, Low Tides, I am here now",7
"SABLE, fABLE",Bon Iver,Pop Soul / Indie Folk,"Everything Is Peaceful Love, If Only I Could Wait, Walk Home",7
The Art of Loving,Olivia Dean,Pop Soul,"So Easy (To Fall In Love), Nice To Each Other, Lady Lady",7
Evangelic Girl is a Gun,yeule,Pop Rock / Alternative Pop,"Dudu, Tequila Coma, Evangelic Girl is a Gun",7
The Scholars,Car Seat Headrest,Indie Rock,"Reality, CCF (I'm Gonna Stay With You), The Catastrophe (Good Luck With That, Man)",7
Clarity of Cal,Vulfpeck,Funk / Pop Soul,"Big Dipper, Matter of Time, New Beastly",7.5
Addison,Addison Rae,Alternative Pop / Alternative R&B,"Fame is a Gun, Aquamarine, Headphones On",7
"by them, by you, by me",Harmless,Bedroom Pop,"why do you do this to me?, what's another year?, future music",7
I I,Blood Abscission,Atmospheric Black Metal,"I I - I, I I - I I I, I I - V",7
Animaru,Mei Semones,Indie Pop / Bossa Nova,"Dumb Feeling, I can do what I want, Tora Moyo",7
a seasons end.,drug bug,Noise Pop,"a seasons end., boy kisser, dont talk to me or ill kill myself :3",7
Mark William Lewis,mark william lewis,Singer-Songwriter /Slowcore,"Still Above, Petals, Ecstatic Heads",7
DON'T TAP THE GLASS,"Tyler, The Creator",Pop Rap / Dance,"Sucka Free, Ring Ring Ring, Big Poe (feat. Sk8brd)",7
CRYSALIS,Jenevieve,Contemporary R&B / Neo-Soul,"Naive, Hvn High, Crysalis",6.5
BELOVED,GIVĒON,Contemporary R&B / Pop Soul,"MUD, RATHER BE, TWENTIES",6.5
LOWER,Benjamin Booker,Art Rock / Neo-Soul,"SAME KIND OF LONELY, BLACK OPPS, SHOW AND TELL",6.5
QUIT QUIETLY,落日飛車 Sunset Rollercoaster,Soft Rock / Indie Pop,"Satellite, Wind of Tomorrow, Bluebird",6.5
K1,kmoe,Indietronica / Indie Rock,"Thousand yard stare, Aired out, Don't be like mouse",6.5
Fall Back,Florence Road,Indie Rock,"Hand Me Downs, Goodnight, Heavy",6.5
