Album,Artist,Genre,Favorite Songs,Rating
"Magic, Alive!",McKinley Dixon,Jazz Rap,"Magic, Alive!, Run, Run, Run Pt. II, Sugar Water (feat. Quelle Chris and Anjimile)",9.5
Only Dust Remains,Backxwash,Experimental Hip Hop,"History Of Violence, Wake Up, 9th Heaven",9.5
"Sincerely,",Kali Uchis,Soul / Alternative R&B,"Heaven is a Home…, Lose My Cool,, Angels All Around Me…",9
Getting Killed,Geese,Indie Rock / Art Rock,"Cobra, Taxes, Long Island City Here I Come",8.5
The Crux,Djo,Indie Pop / Pop Rock,"Potion, Lonesome Is A State of Mind, Charlie's Garden",8.5
Equus Asinus,Men I Trust,Bedroom Pop,"All My Candles, The Landkeeper, I Come With Mud",8.5
勇気,betcover!!,Jazz Rock / Art Rock,"ゴーゴースチーム, ミー子のコンサート, 野猿",8.5
choke enough,Oklou,Alt-Pop / Electronic,"blade bird, plague dogs, harvest sky",8
Son Of Spergy,Daniel Caesar,Singer-Songwriter / R&B,"Sins Of The Father (Feat. Bon Iver), Sign Of The Times, Have A Baby (With Me)",8
NEVER ENOUGH,Turnstile,Hardcore Punk / Dream Pop,"I CARE, NEVER ENOUGH, SUNSHOWER",8
Fancy That,PinkPantheress,Dance Pop / Drum and Bass,"Stateside, Nice to Know You, Romeo",8
Ace,Madison Cunningham,Singer-Songwriter / Chamber Folk,"Beyond That Moon, Shore, Skeletree",8.5
Vendrán Suaves Lluvias,Silvana Estrada,Chamber Folk / Singer-Songwriter,"Como Un Pájaro, Flores, Dime",8.5
I Love My Computer,Ninajirachi,Electro House,"iPod Touch, All I Am, Infohazard",8.5
"Patience, Moonbeam",Great Grandpa,Indie Rock / Dream Pop,"Never Rest, Doom, Kid",8
newLove,juno,Emo Rap / Bedroom Pop,"play with fire, temporary crush, more up than eva",8
God's Gonna Give You a Million Dollars,Shallowater,Slowcore / Alt-Country,"Ativan, God's Gonna Give You a Million Dollars, Sadie",8
LOOP:GLAMOUR,loopcinema,Synthpop / Glitch Pop,"MERCÚRIO, LOUCAS-NO-BEAT, DISCO: Lada",8.5
Lotus,Little Simz,Conscious Hip Hop,"Lotus, Free, Only",8
sankofa,redveil,Jazz Rap / Conscious Hip Hop,"time (a dream deferred), brown sugar, mini me",8.5
Pilgrim,Jesse Welles,Americana / Singer-Songwriter,"Will The Computer Love The Sunset, We’re All Gonna Die, Philanthropist (feat. Billy Strings)",8
Egotrip,"John michel, Anthony James",Chipmunk Soul / Conscious Hip Hop,"Don't Save Me, world's end, NOBODY",8
Prema,Fujii Kaze,Contemporary R&B,"Casket Girl, Love Like This, Hachikō",8
Ginkgo,Panchiko,Indie Rock,"Ginkgo, Lifestyle Trainers, Chapel of Salt",7.5
Forever Howlong,"Black Country, New Road",Art Rock,"Nancy Tries to Take the Night, Happy Birthday, Two Horses",7.5
Hers,Matt Maltese,Indie Pop / Art Pop,"Arthouse Cinema, Buses Replace Trains, Anytime, Anyplace, Anyhow",7
In The Blue Light,Kelela,Soul / R&B,"Waitin’ (unplugged), Bankhead (unplugged), Take Me Apart (unplugged)",7.5
Fairyland Codex,Tropical Fuck Storm,Art Punk,"Irukandji Syndrome, Teeth Marché, Bloodsport",7.5
Vice City Magic,Mustard Service,Indie Pop,"Yucky's Song, Going Nowhere, Big Time",7.5
Adult Romantix,Winter,Shoegaze,"Just Like A Flower, Misery, Without You",7.5
EUSEXUA,FKA twigs,Art Pop / Techno,"Eusexua, Perfect Stranger, Girl Feels Good",7.5
viagr aboys,Viagra Boys,Dance Punk,"Pyramid of Health, Man Made of Meat, The Bog Body",7.5
Racing Mount Pleasant,Racing Mount Pleasant,Chamber Pop / Art Rock,"Your New Place, Emily, Outlast",7
