Album,Artist,Genre,Favorite Songs,Rating
Titanic Rising,Weyes Blood,Art Pop,"Andromeda, A Lot's Gonna Change, Picture Me Better",10
the first glass beach album,glass beach,Emo Pop / Indie Rock,"cold weather, bedroom community, classic j dies and goes to hell part 1",9
IGOR,"Tyler, The Creator",Alternative R&B / Neo-Soul,"NEW MAGIC WAND, GONE GONE / THANK YOU, EARFQUAKE",9.5
Bismillah,Peter Cat Recording Co.,Jazz Pop,"Soulless Friends, Memory Box, Floated By",9
Somewhere City,Origami Angel,Midwest Emo,"The Title Track, 24 Hr Drive-Thru, Skeleton Key",9
KIWANUKA,Michael Kiwanuka,Psychedelic Soul,"You Ain't The Problem, Light, Hero",9
Twenty Twenty,Djo,Psychedelic Pop,"Roddy, Personal Lies, Chateau (Feel Alright)",8.5
My Finest Work Yet,Andrew Bird,Chamber Pop,"Sisyphus, Manifest, Archipelago",8.5
Morbid Stuff,PUP,Pop Punk / Emo,"Morbid Stuff, Kids, See You At Your Funeral",8.5
Father of the Bride,Vampire Weekend,Indie Pop,"This Life, Flower Moon, Sunflower",8
Her and All of My Friends,Ritt Momney,Singer-Songwriter / Indie Pop,"Paper News, Wormwood, Lew's Lullaby",8.5
Every letter I sent you.,Yerin Baek,Contemporary R&B / Singer-Songwriter,"Square (2017), Rest, Popo (How deep is our love?)",8
When We Were Friends,The Backseat Lovers,Indie Rock,"Pool House, Kilby Girl, Dugout",8
New Moon,"Rav, Kill Bill:The Rapper",Abstract Hip Hop / Cloud Rap,"Cult, Dirge, Fair One",8
Miami Memory,Alex Cameron,Pop Rock,"Far From Born Again, Bad For The Boys, Divorce",8
Lamb Over Rice,"Action Bronson, The Alchemist",East Coast Hip Hop,"Dmitri, Descendant of the Stars, Arnold & Danny",7.5
"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,Alternative Pop,"all the good girls go to hell, when the party's over, xanny",7.5
Don't Get Dark,Del Water Gap,Alternative Pop,"Don't Say Nothing, Laid Down My Arms, To Philly",7
Pony,Rex Orange County,Indie Pop,"Pluto Projector, Face to Face, Always",7
Fine Line,Harry Styles,Pop,"Golden, Canyon Moon, Adore You",7
1000 gecs,100 gecs,Hyperpop,"money machine, hand crushed by a mallet, ringtone",7
