Album,Artist,Genre,Favorite Songs,Rating
Hyperdrama,Justice,Electro House,"Neverender, Mannequin Love, Saturnine",7.5
This Ain't The Way You Go Out,Lucy Rose,Singer-Songwriter / Neo-Soul,"Could You Help Me, The Racket, Light As Grass",7
The Great American Bar Scene,Zach Bryan,Country,"Better Days, 28, Purple Gas",7.5
Wheres My Utopia?,Yard Act,Art Punk / Dance Punk,"Dream Job, The Undertow, We Make Hits",7.5
Bando Stone and The New World,Childish Gambino,Experimental Hip Hop / Art Pop,"Lithonia, Survive, Steps Beach",7.5
Keeper of the Shepherd,Hannah Frances,Progressive Folk / Singer-Songwriter,"Bronwyn, Vacant Intimacies, Haunted Landscape Echoing Cave",7
Seed of a Seed,Haley Heynderickx,Singer-Songwriter / Folk,"Mouth of a Flower, Seed of a Seed, Ayan's Song",7
&lt;Dall&gt;,ARTMS,K-Pop,"Candy Crush, Sparkle, Air",7.5
Underdressed at the Symphony,Faye Webster,Soft Rock / Singer-Songwriter,"Wanna Quit All the Time, Underdressed at the Symphony, Thinking About You",7.5
Por cesárea,Dillom,Experimental Hip Hop,"Buenos tiempos, Cirugía, Muñecas",7.5
Where the Butterflies Go in the Rain,Raveena,R&B / Soul,"Pluto, Lucky, Rise",7.5
Girl Prometheus,Flower Face,"Indie Folk / Singer-Songwriter","Biblical Love, Cat's Cradle, Valentine",7.5
Flight b741,King Gizzard & The Lizard Wizard,Blues Rock,"Mirage City, Hog Calling Contest, Le Risque",7
empathogen,WILLOW,Art Pop,"symptom of life, pain for fun, false self",7
BUG,Kacy Hill,Indie Pop,"You Know I Love You Still, No One, If I Could Say",7.5
AMAMA,Crumb,Neo-Psychedelia,"AMAMA, Dust Bunny, Side By Side",7
Fauxllennium,"TV Girl, George Clanton",Neo-Psychedelia / Chillwave,"Summer 2000 Baby, Take a Trip, Everything Blue",7
Twice Around The Sun,Ugly (UK),Art Rock,"I'm Happy You're Here, The Wheel, Icy Windy Sky",7.5
Feeling Not Found,Origami Angel,Emo Pop,"Where Blue Light Blooms, Feeling Not Found, Fruit Wine",7
The Past Is Still Alive,Hurray For The Riff Raff,Alternative Country,"Alibi, Buffalo, The World Is Dangerous",7.5
A Lonely Sinner,samlrc,Post-Rock,"Philautia, Sinner, Storge",7
HIT ME HARD AND SOFT,Billie Eilish,Alternative Pop,"BIRDS OF A FEATHER, SKINNY, LUNCH",7
This Could Be Texas,English Teacher,Art Rock,"The World's Biggest Paving Slab, This Could Be Texas, Albatross",7.5
Keep Your Cool,Riley!,Midwest Emo,"Keep Your Cool Man, 777, Ego Peek Mid",7
What Happened To The Heart?,AURORA,Art Pop,"Your Blood, To Be Alright, The Blade",7
Romance,Fontaines D.C.,Indie Rock / Punk,"Starburster, Favourite, Bug",7
"The Pilgrim, Their God & the King of My Decrepit Mountain",Tapir!,Indie Folk,"On A Grassy Knoll (We'll Bow Together), Gymnopédie, My God",7.5
Connla's Well,Maruja,Post-Punk / Post-Rock,"The Invisible Man, One Hand Behind The Devil, Resisting Resistance",7
BETA,Peter Cat Recording Co.,Jazz Pop / Sophisti Pop,"Suddenly, 21c, Flowers R. Blooming",7
I Got Heaven,Mannequin Pussy,Indie Rock / Punk Rock,"I Got Heaven, Nothing Like, I Don't Know You",7.5
AQUARIUM CITY,Louie Zong,City Pop / Jazz,"MACKEREL MILE, AQUARIUM CITY, EEL EXPRESS",7
Prelude to Ecstasy,The Last Dinner Party,Pop Rock,"The Feminine Urge, Sinner, Nothing Matters",7
Em,My Anh,K-Pop / Vietnamese Pop,"Chẳng Thể Né Tránh, Đánh Cược, Ở Đây Lúc Này",7.5
May It Never Falter,glaive,Emo Rap / Hyperpop,"For God and Country, EVERYDOG HAS ITS DAY, 60.000 ISK",7
COWBOY CARTER,Beyoncé,Country Pop,"TEXAS HOLD 'EM, AMERIICAN REQUIEM, DAUGHTER",7
When a Thought Grows Wings,Luna Li,Indie Pop,"That's Life, Confusion Song, I Would Let You",7.5
Girl With No Face,Allie X,Goth Pop,"Galina, Black Eye, Off With Her Tits",7.5
There Must Be Something Here,acloudyskye,Indie Rock,"Flares, Surface, Team",7.5
COYOTE,Tommy Richman,Alternative R&B / Synth Funk,"WHITNEY, TEMPTATIONS, LETTERMAN",7
VANISHING ACT II: ULTIMATE REALITY,Clarence Clarity,Hyperpop,"What Year Is This?!?! JFC, ALLATONCENESS, To Be A Bat",7
Something for Everybody,Sammy Rae & The Friends,Funk Pop,"Coming Home Song, Cool-Doug at Night, We Made It",6.5
Clancy,Twenty One Pilots,Alternative Pop,"Next Semester, Overcompensate, Paladin Strait",6.5
shadowbox,MAVI,Abstract Hip Hop,"the giver, open waters, i'm so tired",6.5
New Last Name,Courting,Pop Rock,"Emily G, Flex, Babys",6.5
Loss Of Life,MGMT,Psychedelic Pop,"Dancing In Babylon, Bubblegum Dog, Nothing To Declare",6.5
Dunya,Mustafa,Singer-Songwriter / Neo-Soul,"Name of God, SNL, Leaving Toronto",6.5
JOHANN SEBASTIAN BACHLAVA THE DOCTOR,Action Bronson,Jazz Rap,"NOURISH A THUG, SPLASH (PROVOCATIV), SHADOW REALM",6.5
People Who Aren't There Anymore,Future Islands,Synthpop,"King of Sweden, Say Goodbye, The Tower",6.5
Catch 22,Deux Visages,Indie Rock,"February, Tethered, Cut Bangs",6.5
play with earth! 0.03,wave to earth,Neo-Psychedelia / Soft Rock,"play with earth!, annie., are you bored?",6.5
under a cloud,"yubiori, Acle",Midwest Emo,"radiation cooling, interlude, bird cage",6.5
Short n' Sweet,Sabrina Carpenter,Pop,"Please Please Please, Espresso, Taste",6.5
ORQUÍDEAS,Kali Uchis,Latin Pop,"Igual Que Un Ángel, Pensamientos Intrusivos, Te Mata",6.5
Cometh The Storm,High On Fire,Sludge Metal,"Trismegistus, Lambsbread, Burning Down",6.5
EELS,Being Dead,Garage Rock / Surf Rock,"Firefighters, Godzilla Rises, Van Goes",6.5
Charcoal Grace,Caligula's Horse,Progressive Metal,"The World Breathes with Me, Golem, Charcoal Grace I: Prey",6.5
