Album,Artist,Genre,Favorite Songs,Rating
Only God Was Above Us,Vampire Weekend,Indie Pop,"Classical, Ice Cream Piano, Hope",10
Heavy Metal,Cameron Winter,Singer-Songwriter,"Love Takes Miles, $0, Drinking Age",9
Flower of the soul,Liana Flores,Bossa Nova / Singer-Songwriter,"Hello again, Nightvisions, I wish for the rain",9.5
Charm,Clairo,Soft Rock,"Juna, Nomad, Add Up My Love",9
Imaginal Disk,Magdalena Bay,Synthpop,"Killing Time, Death & Romance, Cry for Me",9
Bright Future,Adrianne Lenker,Singer-Songwriter / Indie Folk,"Sadness As A Gift, No Machine, Free Treasure",9
Samurai,Lupe Fiasco,Jazz Rap,"Samurai, No. 1 Headband, Til Eternity",9
"Where we've been, Where we go from here",Friko,Indie Rock,"Where We've Been, Get Numb To It!, Chemical",9
MINISERIES 2,"SUMIN, Slom",K-Pop / R&B,"NONE OF YOUR BUSINESS, WHY WHY WHY, TIC TOC TIC TOC",9
plastic death,glass beach,Art Rock,"coelacanth, motions, rare animal",8.5
CHROMAKOPIA,"Tyler, The Creator",West Coast Hip Hop / Neo Soul,"Darling I, St. Chroma, Like Him",8.5
The New Sound,Geordie Greep,Jazz Rock / Experiemental Rock,"Terra, The Magician, Holy Holy",8.5
I LAY DOWN MY LIFE FOR YOU,JPEGMAFIA,Experimental Hip Hop,"I'll Be Right There, JPEGULTRA!, SIN MIEDO",8.5
"SABLE,",Bon Iver,Singer-Songwriter / Indie Folk,"THINGS BEHIND THINGS BEHIND THINGS, S P E Y S I D E, AWARDS SEASON",8
SMILE! :D,Porter Robinson,Electropop,"Cheerleader, Knock Yourself Out XD, Russian Roulette",8.5
AAA,"HYUKOH, 落日飛車 Sunset Rollercoaster",Soft Rock,"Y, Glue, Kite War",8
GNX,Kendrick Lamar,West Coast Hip Hop,"reincarnated, heart pt. 6, gloria",8.5
Mahashmashana,Father John Misty,Chamber Pop / Singer-Songwriter,"Mahashmashana, Mental Health, I Guess Time Just Makes Fools of Us All",8
Songs From A Thousand Frames Of Mind,Kate Bollinger,Singer-Songwriter,"Running, To Your Own Devices, Sweet Devil",8
Connecticut Casual: Chapter 2,Apathy,East Coast Hip Hop,"Around The Planet, Connecticut Formal, Never Change",8
Ultra 85,Logic,East Coast Hip Hop,"Ghost in the Machine, Paul Rodriguez, LOVE ME",8.5
BRAT,Charli xcx,Electropop / Dance Pop,"Von dutch, 360, Talk talk",8.5
NO HANDS,Joey Valence & Brae,East Coast Hip Hop,"BUSSIT, THE BADDEST, DOUGHBOY",8
God Plays His Piano Drone,rous.,Shoegaze / Dream Pop,"Myrtle Beach SC, Don't Leave, God Plays His Piano Drone",8.5
Fearless Movement,Kamasi Washington,Jazz Fusion,"Prologue, Asha The First, Get Lit",8.5
Big Ideas,Remi Wolf,Pop Rock / Dance Pop,"Cinderella, Toro, Soup",8
nobody's listening!,wishlane,Glitch Pop,"String theory, 27 degrees, Burlap scars",8
Escaper,Sarah Kinsley,Indie Pop,"Last Time We Never Meet Again, Escaper, My Name Is Dancing",7.5
for the rest of your life,twikipedia,Indie Rock / Shoegaze,"room for one, figure me out, far apart",7.5
Patterns in Repeat,Laura Marling,Singer-Songwriter / Chamber Folk,"No One's Gonna Love You Like I Can, Patterns, Looking Back",7
"Right Place, Wrong Person",RM,R&B / Neo-Soul,"Nuts, Come back to me, LOST!",7
Small Changes,Michael Kiwanuka,Soul,"One And Only, Four Long Years, Small Changes",7.5
Angel interview,Meaningful Stone,Dream Pop / Shoegaze,"When our hearts beat at the same pace, Supernova, Mikael",7.5
SHINBANGUMI,Ginger Root,City Pop / Bedroom Pop,"No Problems, There Was A Time, Only You",7
