Album,Artist,Genre,Favorite Songs,Rating
Beloved! Paradise! Jazz!?,McKinley Dixon,Jazz Rap / Conscious Hip Hop,"Beloved! Paradise! Jazz!?, Tyler Forever, Sun I Rise",9.5
Lahai,Sampha,Alternative R&B,"Spirit 2.0, Only, Dancing Circles",9
Drive Home,Portraits Of Tracy,Pop Rap / Alternative R&B,"Found!, Graceland, Home",9
SCARING THE HOES,"JPEGMAFIA, Danny Brown",Experimental Hip Hop,"Lean Beef Patty, Burfict!, Jack Harlow Combo Meal",9.5
Why Does the Earth Give Us People to Love?,Kara Jackson,Singer-Songwriter / Indie Folk,"why does the earth give us people to love?, pawnshop, no fun/party",9
Let's Start Here.,Lil Yachty,Psychedelic Rock,"drive ME crazy!, running out of time, the BLACK seminole.",9
Bewitched,Laufey,Jazz Pop,"Bewitched, Lovesick, Dreamer",9
That! Feels Good!,Jessie Ware,Dance Pop / Disco,"Begin Again, Pearls, That! Feels Good!",8.5
blómi,Susanne Sundfør,Singer-Songwriter,"blómi, alyosha, náttsǫngr",8.5
Calico,Ryan Beatty,Indie Pop / Singer-Songwriter,"Cinnamon Bread, Ribbons, Bruises Off The Peach",8.5
Wallsocket,underscores,Hyperpop / Electronic,"Locals (Girls like us), Old money bitch, Johnny johnny johnny",8
HELLMODE,Jeff Rosenstock,Pop Punk,"WILL U STILL U, I WANNA BE WRONG, 3 SUMMERS",8.5
Heaven knows,PinkPantheress,Drum and Bass / Pop,"Mosquito, Capable of love, Another life",8
Javelin,Sufjan Stevens,Singer-Songwriter,"So You Are Tired, Shit Talk, Will Anybody Ever Love Me?",8
Zach Bryan,Zach Bryan,Country,"Tourniquet, Overtime, Hey Driver",8
UGLY,slowthai,Post-Punk,"Sooner, Tourniquet, HAPPY",8
Sundial,Noname,Jazz Rap,"black mirror, oblivion, boomboom",8
Knocknarea,Maruja,Art Rock / Post-Punk,"Thunder, The Tinker, Blind Spot",8
the record,boygenius,Singer-Songwriter / Indie Folk,"Revolution 0, $20, Cool About It",8
We Are Still Wild Horses,MF Tomlinson,Singer-Songwriter / Indie Folk,"A Cloud, Winter Time Blues, We Are Still Wild Horses",7.5
映帶する煙 (Eitai suru kemuri),君島大空 (Ohzora Kimishima),Folktronica,"19℃, ぬい, 都合",7
Census Designated,Jane Remover,Shoegaze,"Backseat Girl, Cage Girl / Camgirl, Video",7.5
FORWARD,Jordan Ward,R&B,"FAMJAM4000, WHITE CROCS, CHERIMOYA",7.5
Time-Lapse,YUKIKA,City Pop / Covers,"I want to be closer to you, Remember Summer Days, Telephone Number",7
Red Moon In Venus,Kali Uchis,R&B,"All Mine, Moonlight, I Wish you Roses",7
GUTS,Olivia Rodrigo,Pop,"vampire, the grudge, love is embarrassing",7
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,Singer-Songwriter / Art Pop,"Did you know that there's a tunnel under Ocean Blvd, The Grants, Let The Light In",7.5
Live at Bush Hall,"Black Country, New Road",Art Rock,"Turbines/Pigs, Up Song, Laughing Song",7
The Rise and Fall of a Midwest Princess,Chappell Roan,Dance Pop,"Red Wine Supernova, Femininomenon, Casual",7
KNOWER FOREVER,KNOWER,Jazz / Funk,"I'm The President, The Abyss, Do Hot Girls Like Chords?",7
NEVER ENOUGH,Daniel Caesar,R&B,"Please Do Not Lean, Toronto 2014, Let Me Go",7
Volcano,Jungle,Funk / Disco,"Candle Flame, I've Been In Love, Back On 74",7
portrait of a dog,Jonah Yano,Jazz / Neo-soul,"the ordinary is ordinary because it ordinarily repeats, always, haven't haven't",7
"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard & The Lizard Wizard,Metal,"Gila Monster, Motor Spirit, Witchcraft",7
But Here We Are,Foo Fighters,Alternative Rock,"Rescued, Hearing Voices, Nothing At All",7
My Back Was A Bridge For You To Cross,ANOHNI,Singer-Songwriter / Soul,"Sliver Of Ice, Rest, It Must Change",7
After the Magic,Parannoul,Shoegaze,"Arrival, Polaris, Parade",7
Everything Harmony,The Lemon Twigs,Soft Rock,"When Winter Comes Around, In My Head, New To Me",7
Moments of Clarity,Narrow Head,Shoegaze / Grunge,"Caroline, The Real, Moments of Clarity",7
Ascension,Sarah Kinsley,Indie Pop,"Oh No Darling!, Lovegod, Sliver Of Time",6.5
The Loveliest Time,Carly Rae Jepsen,Pop,"Shy Boy, Kamikaze, Put It To Rest",6.5
My 21st Century Blues,RAYE,Pop / R&B,"Worth It., Escapism, The Thrill Is Gone",6.5
Gigi's Recovery,The Murder Capital,Art-Rock / Punk,"A Thousand Lives, Crying, Only Good Things",6.5
Girl with Fish,feeble little horse,Noise Pop / Shoegaze,"Freak, Station, Paces",6.5
