Album,Artist,Genre,Favorite Songs,Rating
The New Abnormal,The Strokes,Indie Rock,"The Adults Are Talking, Selfless, Ode To The Mets",10
Circles,Mac Miller,Alternative R&B,"Good News, Everybody, Hand Me Downs",10
SOUL LADY,YUKIKA,City Pop / K-Pop,"SOUL LADY, Cherries Jubiles, NEON 1989",9.5
Punisher,Phoebe Bridgers,Indie Folk / Singer-Songwriter,"Kyoto, Chinese Satellite, Garden Song",9
Give Me A Minute,Lizzy McAlpine,Singer-Songwriter,"Give Me A Minute, To the Mountains, Nothing / Sad N Stuff",8.5
A Call from My Dream,Meaningful Stone,Dream Pop,"Beep-Boop Beep-Boop, A Call from My Dream, Treasure hunt",8.5
folklore,Taylor Swift,Singer-Songwriter / Folk Pop,"exile, august, the 1",8
Only For Dolphins,Action Bronson,Jazz Rap,"C12H16N2, Capoeira, Latin Grammys",8
Aquarium,Bronze,City Pop / K-Pop,"Orange Road, Melody, Submarine",7.5
evermore,Taylor Swift,Singer-Songwriter / Folk Pop,"champagne problems, willow, evermore",7.5
C'est la Vie,Mustard Service,Indie Pop / Bedroom Pop,"Pleasantries (With Your Lover), Need, Daddy Dookie Brown",7.5
"The Joy of Music, The Job of Real Estate",Vulfpeck,Funk,"LAX, 3 on E, Test Drive (Instrumental)",7
Third Semester,Shalfi,Math Rock / Lofi,"Opening Theme, Hero's Theme, Ending Theme",7
