Album,Artist,Genre,Favorite Songs,Rating
Melt My Eyez See Your Future,Denzel Curry,Conscious Hip Hop,"Melt Session #1 [Feat. Robert Glasper], Walkin, Troubles [Feat. T-Pain]",9.5
Ants From Up There,"Black Country, New Road",Art Rock,"The Place Where He Inserted the Blade, Good Will Hunting, Concorde",9.5
Dawn FM,The Weeknd,Pop / Synthpop,"Out of Time, Sacrifice, Gasoline",9
DECIDE,Djo,Psychadelic Pop,"Change, On and On, Runner",9
I Didn't Mean To Haunt You,Quadeca,Alternative R&B,"don't mind me, tell me a joke, sorry4dying",9
TREES,Avantdale Bowling Club,Jazz Rap,"Rent 2 High, Twenty Eight, Friday Night @ The Liquor Store",8.5
Darklife,death's dynamic shroud,Glitch Pop,"Neon Memories, Judgment Bolt, Stay",8.5
Gemini Rights,Steve Lacy,R&B,"Mercury, Sunshine (feat. Fousheé), Bad Habit",8
From 2 to 3,Peach Pit,Indie Pop,"Look Out!, Up Granville, Vickie",8
five seconds flat,Lizzy McAlpine,Singer-Songwriter / Indie,"ceilings, doomsday, all my ghosts",8
The Forever Story,JID,Conscious Hip Hop,"Kody Blu 31, Surround Sound (feat. 21 Savage & Baby Tate), Sistanem",8
Wet Leg,Wet Leg,Indie Rock,"Too Late Now, Wet Dream, Ur Mum",8
Bronco,Orville Peck,Country,"C'mon Baby, Cry, Daytona Sand, The Curse of the Blackened Eye",8
"And In The Darkness, Hearts Aglow",Weyes Blood,Dream pop / Art pop,"It's Not Just Me, It's Everybody, Grapevine, God Turn Me Into a Flower",8
Hellfire,black midi,Experimental Rock,"Sugar/Tzu, The Defence, Welcome to Hell",8.5
I've Seen Better Days,amaii,Hyperpop,"Dust, Supermarket california roll, hey! cool bike",8
"Ice, Death, Planets, Lungs, Mushrooms And Lava",King Gizzard & The Lizard Wizard,Psychadelic Rock / Jazz Rock,"Ice V, Magma, Hell's Itch",8
Crest,"Bladee, Ecco2k",Hyperpop / Cloud Rap,"White Meadow, Desire is a Trap, Girls Just Want to Have Fun",7.5
Omnium Gatherum,King Gizzard & The Lizard Wizard,Psychadelic Rock,"Magenta Mountain, Presumptuous, The Dripping Tap",7.5
Chloë and the Next 20th Century,Father John Misty,Alternative / Chamber Pop,"Goodbye Mr. Blue, Buddy's Rendezvous, Funny Girl",7.5
"Grip Your Fist, I'm Heaven Bound",Racing Mount Pleasant,Chamber Pop / Art Rock,"Do You Think I'm Pretty, Reichenbach Falls, Holy Hell",7.5
INTO THE BLUE,Broken Bells,Alternative / Indie,"Love On The Run, Invisible Exit, We're Not In Orbit Yet…",7.5
Mr. Morale & The Big Steppers,Kendrick Lamar,Conscious Hip Hop,"Father Time (feat. Sampha), The Heart Part 5, United In Grief",7.5
Schvitz,Vulfpeck,Funk,"Simple Step, New Guru, Sauna",7.5
Beatopia,beabadoobee,Indie Pop,"the perfect pair, 10:36, You’re here that’s the thing",7.5
how can i pretend?,Wasia Project,Singer-Songwriter / Indie,"ur so pretty, impossible, why don't u love me? - re-recorded",7
SOS,SZA,R&B,"Good Days, Kill Bill, Gone Girl",7
HERBERT,Ab-Soul,Hip Hop,"HOLLANDAISE, GOODMAN, DO BETTER",7.5
Ugly Season,Perfume Genius,Art Pop,"Photograph, Pop Song, Teeth",7
Harry's House,Harry Styles,Pop,"Late Night Talking, As It Was, Music For a Sushi Restaurant",7
WHO CARES?,Rex Orange County,Indie Pop,"OPEN A WINDOW (feat. Tyler, The Creator), KEEP IT UP, AMAZING",7
Everything I Know About Love,Laufey,Jazz / Indie,"Valentine, Night Light, Beautiful Stranger",7
hugo,Loyle Carner,Conscious Hip Hop,"Nobody Knows (Ladas Road), Speed Of Plight, HGU",7
Big Time,Angel Olsen,Country,"Big Time, All The Good Times, Ghost On",6.5
Skyline,Bronze,K-Pop / City Pop,"Time Slip (with YUKIKA), Touch (with Jue), Ondo (with LeeHi)",6.5
Dragon New Warm Mountain I Believe In You,Big Thief,Indie Folk,"Change, Simulation Swarm, Certainty",6.5
I Love You Jennifer B,Jockstrap,Glitch Pop,"Concrete Over Water, Glasgow, Neon",6.5
Water Your Garden,Magic City Hippies,Psychadelic Funk / Alternative Pop,"Ghost On The Mend, Queen, Champagne On The Rider",6.5
LP3,Hippo Campus,Indie Pop,"Semi Pro, Ashtray, Blew Its",6.5
The Car,Arctic Monkeys,Baroque Pop,"There’d Better Be A Mirrorball, Body Paint, Big Ideas",6.5
Cocodrillo Turbo,Action Bronson,Hip Hop,"Estaciones [Feat. Hologram], Subzero, Jaguar",6.5
Look Alive!,Early Eyes,Alternative / Indie,"Paresthesia, Chemicals, Halloween '18",6.5
